New PAW TMT results file!
Program "PAW_protein_grouper.py" run on Fri Apr 24 07:35:32 2020
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_A	Total_B	Total_C	Unique_A	Unique_B	Unique_C	Corrected_A	Corrected_B	Corrected_C	PSMs_Used_A	TotInt_126C_A	TotInt_127N_A	TotInt_127C_A	TotInt_128N_A	TotInt_128C_A	TotInt_129N_A	TotInt_129C_A	TotInt_130N_A	TotInt_130C_A	TotInt_131N_A	TotInt_131C_A	PSMs_Used_B	TotInt_126C_B	TotInt_127N_B	TotInt_127C_B	TotInt_128N_B	TotInt_128C_B	TotInt_129N_B	TotInt_129C_B	TotInt_130N_B	TotInt_130C_B	TotInt_131N_B	TotInt_131C_B	PSMs_Used_C	TotInt_126C_C	TotInt_127N_C	TotInt_127C_C	TotInt_128N_C	TotInt_128C_C	TotInt_129N_C	TotInt_129C_C	TotInt_130N_C	TotInt_130C_C	TotInt_131N_C	TotInt_131C_C
1	1	CONT_005|Trypa5|PromTArt5	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	100.0	50	5560	Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003).	97	40	0.412	34	34	29	15	16	9	17.938	19.032	11.432	15	1805441.5927739998	1410327.81067	1507985.430908	1529602.893432	1678019.212647	1655698.5305180002	1437806.157715	1364165.4091800002	967890.3660889999	1333846.58838	150.0	16	1422979.5212400001	1629895.769042	1533932.198245	1194163.395263	1195418.7016580002	1544438.5002450002	1624509.319338	1595642.146486	1771834.6162110001	1515525.6313480001	6753.711914	9	73081.078368	926641.962159	967833.608644	913320.6791990001	939958.675048	919693.6149909999	960085.4238290001	1190000.1042479998	60625.210327	726757.402588	150.0
2	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	45.5	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	283	226	0.799	101	97	85	82	79	65	98.062	93.968	82.568	82	35557507.859864995	32136887.713440005	38302996.173828	36695424.907351	30894727.418947995	41389242.665587	35662226.65783501	39633855.374266006	38650588.27972599	36240646.135988005	829276.5819090001	79	20361061.028257996	20431161.807249997	19226245.362793997	19015787.948974006	19792188.75256401	18702204.302127995	20188233.895145986	21458879.758969992	20866226.901243992	19359838.876339007	493021.2457279999	65	19020612.338991	20302243.973144993	24168568.281251997	21757948.462281004	18083599.831784997	21998380.845826	15243678.822875997	25381053.041015	19583525.973391995	21986280.658937998	223795.95269799998
7	1	CONT_019|CAS1_BOVIN	 	 	 	contaminant	46.3	214	24529	ALPHA-S1 CASEIN PRECURSOR [Bos taurus].	48	48	1.000	6	10	32	6	10	32	6.000	10.000	32.000	6	234076.172851	119553.848633	273996.117187	238109.02002100003	211464.563965	263074.097656	880568.0859369999	726242.826171	161766.897462	5878929.554688	150.0	10	155569.22070399998	317487.898927	263212.336426	2137020.554687	770848.142578	347275.39355599997	492263.980467	483561.878907	284367.598631	3815007.15625	150.0	32	702744.0094000001	145160.84454299998	69778049.640626	837599.8552250001	5139793.425658	355613.985167	624247.1605229999	295579.734375	88319.09674	2659199.288576	1151.262939
8	1	CONT_020|CAS2_BOVIN	 	 	 	contaminant	38.7	222	26018	ALPHA-S2 CASEIN PRECURSOR [Bos taurus].	47	47	1.000	3	8	36	3	8	36	3.000	8.000	36.000	3	52316.526367	61588.845946999994	91044.38916	110038.661134	125055.91870200002	88333.217286	155331.682129	78142.490722	32652.294677	792737.842774	150.0	8	21060.454223	59974.26184100001	49569.917359	590615.200195	192794.15832400002	106430.38519200002	114267.51806599999	101167.57055700001	59877.800781000005	878660.665039	150.0	36	978627.7922350001	215843.97497500002	58572910.001709	652552.7943739999	4386484.422364	585214.2171	633509.5602419998	418393.865111	367746.0948469999	2537050.821899	10201.568359
9	1	CONT_021|CASB_BOVIN	 	 	 	contaminant	18.3	224	25107	BETA CASEIN PRECURSOR [Bos taurus].	23	23	1.000	3	3	17	3	3	17	3.000	3.000	17.000	3	77500.85839900002	82125.48290999999	97948.55029300001	108651.53027300001	105807.216797	169701.863281	197308.25878899998	165614.04004000002	79869.976562	875460.757812	150.0	3	23823.590820999998	51781.461426	29490.427733999997	432545.795898	143799.128907	72740.118165	91934.751708	90469.293579	24176.831055000002	599659.78418	150.0	17	220833.69189499997	17296.615234999997	27919661.835937	136716.677979	1936727.6694339998	78541.643921	128254.910157	78764.22583000001	36194.608399000004	700549.98657	150.0
10	1	CONT_022|CASK_BOVIN	 	 	 	contaminant	20.5	190	21269	KAPPA CASEIN PRECURSOR [Bos taurus].	10	10	1.000	1	2	7	1	2	7	1.000	2.000	7.000	1	2704.222656	805.394226	628.909485	2221.639648	917.2299800000001	2089.62915	6154.938965	6067.880859000001	1317.502319	50909.902344	150.0	2	3615.4727789999997	9525.8125	8146.94751	65223.179688000004	20362.089355	10607.912597999999	15885.646484	11294.232177	10432.743896	72972.470704	150.0	7	85957.56152399999	150.0	7991827.8125	52062.926636000004	564877.621093	42539.421875	86013.626953	39161.510742	20811.361328	167743.83154400002	150.0
12	1	CONT_060|gi|542923|pir||S37780 (+2)	CONT_060|gi|542923|pir||S37780&CONT_095|gi|547750|sp|P35900|K1CT_HUMAN&sp|P35900|K1C20_HUMAN	 	CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P02533|K1C14_HUMAN, sp|P08727|K1C19_HUMAN, sp|P13646|K1C13_HUMAN	contaminant	6.1	424	48571	keratin 20, cytoskeletal [Homo sapiens].	10	1	0.100	3	4	3	0	0	1	0.006	0.008	1.004	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	2982.367432	3601.681885	10129.282227	7641.59375	6685.769531	14901.425781	27639.912108999997	4507.775390999999	3187.352539	7030.062012	150.0
18	1	CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN (+1)	CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN&sp|Q04695|K1C17_HUMAN	 	CONT_046|gi|88041|pir||A31994, CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_151|gi|1000379|bbs|168429, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, sp|P02533|K1C14_HUMAN, sp|P08727|K1C19_HUMAN, sp|P13645|K1C10_HUMAN, sp|P13646|K1C13_HUMAN, sp|P35527|K1C9_HUMAN, sp|Q9C075|K1C23_HUMAN	contaminant	79.2	432	48105	KERATIN, TYPE I CYTOSKELETAL 17 (CYTOKERATIN 17) (K17) (CK 17) (39.1) (VERSION 1) [Homo sapiens].	236	137	0.581	71	79	86	45	41	51	60.129	60.847	71.409	45	2183942.601136	745802.4266380001	517413.2321780001	2803783.7003190005	9024841.044923	6869815.028807	2983285.0450480003	601409.5577410001	242014.42333999995	3093786.282105001	150.0	41	693311.367553	703108.742798	1680792.5845949997	1767823.8730449998	8239539.466430002	504843.82922699995	804090.6008320001	3439953.7600700003	233347.812195	3523632.557007	860.133118	51	1764502.17688	761384.2521979999	795317.4146780001	8371471.190672	2143242.809264999	8101499.20459	618066.1323239999	1193856.139894	121980.31628300002	1885659.3722529998	599.8288570000001
20	1	CONT_102|gi|88044|pir||S01068 (+2)	CONT_102|gi|88044|pir||S01068&CONT_119|gi|547753|sp|P19013|K2C4_HUMAN&sp|P19013|K2C4_HUMAN	 	CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08729|K2C7_HUMAN, sp|P13647|K2C5_HUMAN, sp|P14136|GFAP_HUMAN, sp|P35908|K22E_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q7RTS7|K2C74_HUMAN, sp|Q7Z794|K2C1B_HUMAN	contaminant	8.8	408	45507	keratin 4, type II, cytoskeletal (fragment) [Homo sapiens].	28	0	0.000	10	12	6	0	0	0	0.000	0.000	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	1	CONT_120|gi|125108|sp|P08729|K2C7_HUMAN (+1)	CONT_120|gi|125108|sp|P08729|K2C7_HUMAN&CONT_140|gi|88045|pir||S05602	 	CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_154|gi|1181996, CONT_164|gi|1419564|gnl|PID|e251594, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08670|VIME_HUMAN, sp|P08729|K2C7_HUMAN, sp|P13647|K2C5_HUMAN, sp|P14136|GFAP_HUMAN, sp|P17661|DESM_HUMAN, sp|P35908|K22E_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q7RTS7|K2C74_HUMAN, sp|Q7Z794|K2C1B_HUMAN	contaminant	58.2	469	51334	KERATIN, TYPE II CYTOSKELETAL 7 (CYTOKERATIN 7) (K7) (CK 7) [Homo sapiens].	340	12	0.035	97	149	94	2	7	3	16.486	29.904	16.906	2	118588.947266	37712.22412100001	38128.285645	53140.928711	152253.292969	183069.329102	186984.748047	19996.035644	19056.729492	134011.717773	150.0	7	263897.248902	988785.749755	1953870.3027340001	375371.98950200004	1187627.574707	6268731.84375	137408.841676	976316.5504150001	474739.921631	1095352.480957	150.0	3	38543.928954	52746.670898	72009.27783199999	174441.11377000003	349295.742187	414428.382812	239429.183594	83271.123046	122104.17675700001	134183.05468799997	2818.606201
27	1	CONT_151|gi|1000379|bbs|168429	 	 	CONT_046|gi|88041|pir||A31994, CONT_074|gi|1070608|pir||KRHU9, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_151|gi|1000379|bbs|168429, CONT_156|gi|1363944|pir||JC4313, sp|P02533|K1C14_HUMAN, sp|P08727|K1C19_HUMAN, sp|P13645|K1C10_HUMAN, sp|P35527|K1C9_HUMAN	contaminant	94.1	17	1982	(S78515) type I keratin K17 [human, Jackson-Lawler pachyonychia congenita patient 2, Peptide Partial Mutant, 17 aa].	10	2	0.200	3	3	4	1	0	1	1.006	0.010	1.010	1	38554.550781	24842.333984	13475.361328	49687.535156	179263.765625	118122.28906300002	57556.24609400001	7100.621094	7925.804687999999	60782.875	150.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	55193.22265599999	36416.742188	33748.773438	190109.8125	47221.933594	194045.703125	51365.78125	33287.183594	13899.111328	55256.33984400001	150.0
28	1	CONT_154|gi|1181996 (+4)	CONT_154|gi|1181996&CONT_174|gi|1903220|gnl|PID|e255346&CONT_178|gi|2190400|gnl|PID|e321549&sp|O43790|KRT86_HUMAN&sp|Q14533|KRT81_HUMAN	 	CONT_073|gi|87303|pir||JS0487, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_154|gi|1181996, sp|O95678|K2C75_HUMAN, sp|P08670|VIME_HUMAN, sp|P08729|K2C7_HUMAN, sp|P13647|K2C5_HUMAN, sp|P14136|GFAP_HUMAN, sp|Q5XKE5|K2C79_HUMAN	contaminant	5.4	425	47034	(X81420) hair type II basic keratin [Homo sapiens].	32	3	0.094	10	11	11	1	1	1	1.013	1.014	1.014	1	19601.210938	24779.972656	18100.761719	29631.408202999995	18194.738281	30037.257812	35524.296875	22303.841797	22141.240234	43648.15625	150.0	1	6427.503906	60363.02734400001	176147.546875	16393.925781	23804.078125	16546.947266	14440.467772999998	9526.191406	11008.03418	41851.96875	150.0	1	4595.324219	8367.087891	26732.648438	7815.058105	24344.947266	52972.757812	32149.107422000005	41054.308594	5583.717772999999	35678.664062	150.0
29	1	CONT_156|gi|1363944|pir||JC4313 (+1)	CONT_156|gi|1363944|pir||JC4313&sp|P08779|K1C16_HUMAN	 	CONT_046|gi|88041|pir||A31994, CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_151|gi|1000379|bbs|168429, CONT_156|gi|1363944|pir||JC4313, CONT_157|gi|1245902|bbs|175065, CONT_167|gi|1668744|gnl|PID|e195475, sp|P02533|K1C14_HUMAN, sp|P08727|K1C19_HUMAN, sp|P13645|K1C10_HUMAN, sp|P13646|K1C13_HUMAN, sp|P35527|K1C9_HUMAN	contaminant	65.1	473	51237	type I keratin 16 [human, epidermal keratinocytes, Peptide, 473 aa].	121	36	0.298	30	41	50	6	10	20	13.851	18.495	29.040	6	184782.01171800002	118163.819093	56328.237122	130395.35376000001	372281.11816500005	185434.604736	122157.82422000001	47675.083984000004	25268.944946	440902.324219	558.738159	10	215999.51464799998	812652.5419920001	437012.50781199994	457542.073119	670210.6718750001	206085.02343799997	724575.486816	587271.0558470001	269463.079651	671700.7963880002	10478.634888	20	1311230.1450190004	266248.252318	268690.916811	3576852.132324	100068.348633	631927.415284	275233.0845330001	117841.60888600002	105361.194092	383808.4584939999	150.0
33	1	CONT_177|gi|2134977|pir||S60152	 	 	CONT_074|gi|1070608|pir||KRHU9, CONT_177|gi|2134977|pir||S60152, sp|P08727|K1C19_HUMAN	contaminant	30.0	50	5719	cytokeratin 19 (fragment) [Homo sapiens].	9	1	0.111	2	5	2	0	1	0	0.008	1.015	0.008	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	3285.407471	3176.092285	15389.46875	2086.005859	21863.554688	17585.410156	4620.694336	103631.5	3529.593262	23026.113281	150.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
