PAW protein_summary_9 results file
written: Fri Apr 24 07:34:56 2020

 	=subtotal(109,B6:B5436)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	x
ProtGroup	Counter	Accession	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_A	Total_B	Total_C	Unique_A	Unique_B	Unique_C	Corrected_A	Corrected_B	Corrected_C	OtherLoci
1.0	1	CONT_005|Trypa5|PromTArt5	contaminant	100.0	50	5560	Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003).	97	40	0.412	34	34	29	15	16	9	17.938	19.032	11.432	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG
2.0	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	45.5	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	283	226	0.799	101	97	85	82	79	65	98.062	93.968	82.568	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG
3.0	1	CONT_015|gi|229552|prf||754920A	contaminant	69.2	581	65797	albumin [Bos primigenius taurus].	733	20	0.027	176	242	315	1	4	15	7.084	15.242	49.445	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT
4.0	1	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN	contaminant	76.4	607	69270	SERUM ALBUMIN PRECURSOR [Bos taurus].	767	54	0.070	177	245	345	2	7	45	14.167	26.674	148.335	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT
5.0	1	CONT_017|gi|113576|sp|P02768|ALBU_HUMAN	contaminant	94.9	609	69366	SERUM ALBUMIN PRECURSOR [Homo sapiens].	7271	6384	0.878	2139	2830	2302	1861	2487	2036	2138.683	2829.084	2297.219	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT
5.0001	1	sp|P02768|ALBU_HUMAN	redundant	94.9	609	69366	Serum albumin OS=Homo sapiens (Human) OX=9606 GN=ALB PE=1 SV=2	7271	6384	0.878	2139	2830	2302	1861	2487	2036	2138.683	2829.084	2297.219	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT
6.0	1	CONT_018|gi|113580|sp|P02770|ALBU_RAT	contaminant	8.9	608	68718	SERUM ALBUMIN PRECURSOR [Rattus norvegicus].	369	1	0.003	127	137	105	1	0	0	2.066	0.000	0.000	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT
7.0	1	CONT_019|CAS1_BOVIN	contaminant	46.3	214	24529	ALPHA-S1 CASEIN PRECURSOR [Bos taurus].	48	48	1.000	6	10	32	6	10	32	6.000	10.000	32.000	 
8.0	1	CONT_020|CAS2_BOVIN	contaminant	38.7	222	26018	ALPHA-S2 CASEIN PRECURSOR [Bos taurus].	47	47	1.000	3	8	36	3	8	36	3.000	8.000	36.000	 
9.0	1	CONT_021|CASB_BOVIN	contaminant	18.3	224	25107	BETA CASEIN PRECURSOR [Bos taurus].	23	23	1.000	3	3	17	3	3	17	3.000	3.000	17.000	 
10.0	1	CONT_022|CASK_BOVIN	contaminant	20.5	190	21269	KAPPA CASEIN PRECURSOR [Bos taurus].	10	10	1.000	1	2	7	1	2	7	1.000	2.000	7.000	 
11.0	1	CONT_046|gi|88041|pir||A31994	contaminant	48.1	561	57247	keratin 10, type I, epidermal [Homo sapiens].	77	1	0.013	14	45	18	0	1	0	0.000	3.241	0.000	CONT_046|gi|88041|pir||A31994, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_151|gi|1000379|bbs|168429, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, sp|P02533|K1C14_HUMAN, sp|P08727|K1C19_HUMAN, sp|P13645|K1C10_HUMAN, sp|P13646|K1C13_HUMAN, sp|P35527|K1C9_HUMAN
