New PAW TMT results file!																																																										
"Program ""PAW_protein_grouper.py"" run on Fri Apr 24 07:35:32 2020"																																																										
 																																																										
 																								C1	C2	SP1	SQ1	SQ2	TN1	TN2	N1	N2	Pool	Unused		Nx	C4	SP2	SP3	SQ3	TN3	TN4	N3	N4	Pool	Unused		C5	SP4	SP5	SQ4	SP6	TN5	TN6	N5	N6	Pool	Unused
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_A	Total_B	Total_C	Unique_A	Unique_B	Unique_C	Corrected_A	Corrected_B	Corrected_C	PSMs_Used_A	TotInt_126C_A	TotInt_127N_A	TotInt_127C_A	TotInt_128N_A	TotInt_128C_A	TotInt_129N_A	TotInt_129C_A	TotInt_130N_A	TotInt_130C_A	TotInt_131N_A	TotInt_131C_A	PSMs_Used_B	TotInt_126C_B	TotInt_127N_B	TotInt_127C_B	TotInt_128N_B	TotInt_128C_B	TotInt_129N_B	TotInt_129C_B	TotInt_130N_B	TotInt_130C_B	TotInt_131N_B	TotInt_131C_B	PSMs_Used_C	TotInt_126C_C	TotInt_127N_C	TotInt_127C_C	TotInt_128N_C	TotInt_128C_C	TotInt_129N_C	TotInt_129C_C	TotInt_130N_C	TotInt_130C_C	TotInt_131N_C	TotInt_131C_C
1	1	CONT_005|Trypa5|PromTArt5	 	 	"CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG"	contaminant	100	50	5560	"Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003)."	97	40	0.412	34	34	29	15	16	9	17.938	19.032	11.432	15	1805441.593	1410327.811	1507985.431	1529602.893	1678019.213	1655698.531	1437806.158	1364165.409	967890.3661	1333846.588	150	16	1422979.521	1629895.769	1533932.198	1194163.395	1195418.702	1544438.5	1624509.319	1595642.146	1771834.616	1515525.631	6753.711914	9	73081.07837	926641.9622	967833.6086	913320.6792	939958.675	919693.615	960085.4238	1190000.104	60625.21033	726757.4026	150
2	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	 	 	"CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG"	contaminant	45.5	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	283	226	0.799	101	97	85	82	79	65	98.062	93.968	82.568	82	35557507.86	32136887.71	38302996.17	36695424.91	30894727.42	41389242.67	35662226.66	39633855.37	38650588.28	36240646.14	829276.5819	79	20361061.03	20431161.81	19226245.36	19015787.95	19792188.75	18702204.3	20188233.9	21458879.76	20866226.9	19359838.88	493021.2457	65	19020612.34	20302243.97	24168568.28	21757948.46	18083599.83	21998380.85	15243678.82	25381053.04	19583525.97	21986280.66	223795.9527
7	1	CONT_019|CAS1_BOVIN	 	 	 	contaminant	46.3	214	24529	ALPHA-S1 CASEIN PRECURSOR [Bos taurus].	48	48	1	6	10	32	6	10	32	6	10	32	6	234076.1729	119553.8486	273996.1172	238109.02	211464.564	263074.0977	880568.0859	726242.8262	161766.8975	5878929.555	150	10	155569.2207	317487.8989	263212.3364	2137020.555	770848.1426	347275.3936	492263.9805	483561.8789	284367.5986	3815007.156	150	32	702744.0094	145160.8445	69778049.64	837599.8552	5139793.426	355613.9852	624247.1605	295579.7344	88319.09674	2659199.289	1151.262939
8	1	CONT_020|CAS2_BOVIN	 	 	 	contaminant	38.7	222	26018	ALPHA-S2 CASEIN PRECURSOR [Bos taurus].	47	47	1	3	8	36	3	8	36	3	8	36	3	52316.52637	61588.84595	91044.38916	110038.6611	125055.9187	88333.21729	155331.6821	78142.49072	32652.29468	792737.8428	150	8	21060.45422	59974.26184	49569.91736	590615.2002	192794.1583	106430.3852	114267.5181	101167.5706	59877.80078	878660.665	150	36	978627.7922	215843.975	58572910	652552.7944	4386484.422	585214.2171	633509.5602	418393.8651	367746.0948	2537050.822	10201.56836
9	1	CONT_021|CASB_BOVIN	 	 	 	contaminant	18.3	224	25107	BETA CASEIN PRECURSOR [Bos taurus].	23	23	1	3	3	17	3	3	17	3	3	17	3	77500.8584	82125.48291	97948.55029	108651.5303	105807.2168	169701.8633	197308.2588	165614.04	79869.97656	875460.7578	150	3	23823.59082	51781.46143	29490.42773	432545.7959	143799.1289	72740.11817	91934.75171	90469.29358	24176.83106	599659.7842	150	17	220833.6919	17296.61523	27919661.84	136716.678	1936727.669	78541.64392	128254.9102	78764.22583	36194.6084	700549.9866	150
10	1	CONT_022|CASK_BOVIN	 	 	 	contaminant	20.5	190	21269	KAPPA CASEIN PRECURSOR [Bos taurus].	10	10	1	1	2	7	1	2	7	1	2	7	1	2704.222656	805.394226	628.909485	2221.639648	917.22998	2089.62915	6154.938965	6067.880859	1317.502319	50909.90234	150	2	3615.472779	9525.8125	8146.94751	65223.17969	20362.08936	10607.9126	15885.64648	11294.23218	10432.7439	72972.4707	150	7	85957.56152	150	7991827.813	52062.92664	564877.6211	42539.42188	86013.62695	39161.51074	20811.36133	167743.8315	150
12	1	CONT_060|gi|542923|pir||S37780 (+2)	CONT_060|gi|542923|pir||S37780&CONT_095|gi|547750|sp|P35900|K1CT_HUMAN&sp|P35900|K1C20_HUMAN	 	"CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P02533|K1C14_HUMAN, sp|P08727|K1C19_HUMAN, sp|P13646|K1C13_HUMAN"	contaminant	6.1	424	48571	"keratin 20, cytoskeletal [Homo sapiens]."	10	1	0.1	3	4	3	0	0	1	0.006	0.008	1.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2982.367432	3601.681885	10129.28223	7641.59375	6685.769531	14901.42578	27639.91211	4507.775391	3187.352539	7030.062012	150
18	1	CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN (+1)	CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN&sp|Q04695|K1C17_HUMAN	 	"CONT_046|gi|88041|pir||A31994, CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_151|gi|1000379|bbs|168429, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, sp|P02533|K1C14_HUMAN, sp|P08727|K1C19_HUMAN, sp|P13645|K1C10_HUMAN, sp|P13646|K1C13_HUMAN, sp|P35527|K1C9_HUMAN, sp|Q9C075|K1C23_HUMAN"	contaminant	79.2	432	48105	"KERATIN, TYPE I CYTOSKELETAL 17 (CYTOKERATIN 17) (K17) (CK 17) (39.1) (VERSION 1) [Homo sapiens]."	236	137	0.581	71	79	86	45	41	51	60.129	60.847	71.409	45	2183942.601	745802.4266	517413.2322	2803783.7	9024841.045	6869815.029	2983285.045	601409.5577	242014.4233	3093786.282	150	41	693311.3676	703108.7428	1680792.585	1767823.873	8239539.466	504843.8292	804090.6008	3439953.76	233347.8122	3523632.557	860.133118	51	1764502.177	761384.2522	795317.4147	8371471.191	2143242.809	8101499.205	618066.1323	1193856.14	121980.3163	1885659.372	599.828857
20	1	CONT_102|gi|88044|pir||S01068 (+2)	CONT_102|gi|88044|pir||S01068&CONT_119|gi|547753|sp|P19013|K2C4_HUMAN&sp|P19013|K2C4_HUMAN	 	"CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08729|K2C7_HUMAN, sp|P13647|K2C5_HUMAN, sp|P14136|GFAP_HUMAN, sp|P35908|K22E_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q7RTS7|K2C74_HUMAN, sp|Q7Z794|K2C1B_HUMAN"	contaminant	8.8	408	45507	"keratin 4, type II, cytoskeletal (fragment) [Homo sapiens]."	28	0	0	10	12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
